"","species_count_salvage_proportional","species_count_active_proportional","specimen_count_salvage_proportional","specimen_count_active_proportional","log_active_species_prop","log_salvage_species_prop","log_active_specimen_prop","log_salvage_specimen_prop"
"Accipitriformes",0.727272727272727,0,12.4545454545455,0,0,0.54654370636807,0,2.59931700096575
"Anseriformes",0.257142857142857,0.542857142857143,0.457142857142857,2.68571428571429,0.433635985074861,0.228841572428847,1.30446434287226,0.376477571234912
"Apodiformes",0.75,0.875,17,10.125,0.628608659422374,0.559615787935423,2.4091948280523,2.89037175789616
"Caprimulgiformes",0.333333333333333,0.666666666666667,2.33333333333333,1.33333333333333,0.510825623765991,0.287682072451781,0.847297860387202,1.20397280432594
"Cathartiformes",1,0,4,0,0,0.693147180559945,0,1.6094379124341
"Charadriiformes",0.403846153846154,0.153846153846154,1.26923076923077,1.03846153846154,0.143100843640673,0.339215722566964,0.712195375530641,0.819440905884238
"Columbiformes",0.5,0.166666666666667,9,0.666666666666667,0.154150679827259,0.405465108108164,0.510825623765991,2.30258509299405
"Coraciiformes",1,1,7,1,0.693147180559945,0.693147180559945,0.693147180559945,2.07944154167984
"Cuculiformes",1,0,1,0,0,0.693147180559945,0,0.693147180559945
"Falconiformes",1.25,0,11.5,0,0,0.810930216216329,0,2.52572864430826
"Galliformes",1,0.833333333333333,8,3.16666666666667,0.606135803570315,0.693147180559945,1.42711635564015,2.19722457733622
"Gaviiformes",1,0,1.33333333333333,0,0,0.693147180559945,0,0.847297860387202
"Gruiformes",0.666666666666667,0.166666666666667,3,1.16666666666667,0.154150679827259,0.510825623765991,0.773189888233483,1.38629436111989
"Passeriformes",0.651515151515151,0.734848484848485,5.48484848484848,13.0378787878788,0.550920080967869,0.501693140202718,2.64175930369899,1.86946845355537
"Pelecaniformes",0.5,0.0714285714285714,3.35714285714286,0.0714285714285714,0.0689928714869514,0.405465108108164,0.0689928714869514,1.47181653455805
"Piciformes",0.636363636363636,0.909090909090909,3.45454545454545,8,0.646627164925052,0.492476485097794,2.19722457733622,1.49392502531225
"Podicipediformes",0.833333333333333,0.166666666666667,2.33333333333333,0.166666666666667,0.154150679827259,0.606135803570315,0.154150679827259,1.20397280432594
"Procellariiformes",0.5,0,0.5,0,0,0.405465108108164,0,0.405465108108164
"Strigiformes",1.8,0.2,25,26.2,0.182321556793955,1.02961941718116,3.30321697330195,3.25809653802148
