"","order","coll_method","count"
"1","Accipitriformes","salvage",137
"2","Anseriformes","active",94
"3","Anseriformes","salvage",16
"4","Apodiformes","active",81
"5","Apodiformes","salvage",136
"6","Caprimulgiformes","active",4
"7","Caprimulgiformes","salvage",7
"8","Cathartiformes","salvage",4
"9","Charadriiformes","active",54
"10","Charadriiformes","salvage",66
"11","Columbiformes","active",4
"12","Columbiformes","salvage",54
"13","Coraciiformes","active",1
"14","Coraciiformes","salvage",7
"15","Cuculiformes","salvage",1
"16","Falconiformes","salvage",46
"17","Galliformes","active",19
"18","Galliformes","salvage",48
"19","Gaviiformes","salvage",4
"20","Gruiformes","active",7
"21","Gruiformes","salvage",18
"22","Passeriformes","active",1721
"23","Passeriformes","salvage",724
"24","Pelecaniformes","active",1
"25","Pelecaniformes","salvage",47
"26","Piciformes","active",88
"27","Piciformes","salvage",38
"28","Podicipediformes","active",1
"29","Podicipediformes","salvage",14
"30","Procellariiformes","salvage",2
"31","Strigiformes","active",131
"32","Strigiformes","salvage",125
